"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 25 19:41:47 GMT 2023","Thu May 25 19:42:53 GMT 2023","66207","","Tests.ComputerTest","","Tests.ComputerTest","takeATMAdress","Проверка поиска банкомата [1] Москва","На странице дебеторской карты подается заявка в ФИО и почте. Проверяется вывод сообщений 'Используйте только кириллицу', 'Нет отчества' и 'Введите верный электронный адрес'"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:12 GMT 2023","48139","","Tests.ComputerTest","","Tests.ComputerTest","takeVk","Проверка кнопки со ссылкой на VK","На главной странице сайта нажимается кнопка соцсети 'VK', проверяется открытие официальной страницы МТС банка"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:12 GMT 2023","48231","","Tests.MobileTest","","Tests.MobileTest","takeMortgageMTS","Неккоректный ввод почты при оформлении ипотеке","На странице ипотеки подается заявка с ошибкой в почте. Проверяется вывод сообщений 'Введите верный электронный адрес'"
"failed","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:21 GMT 2023","57416","","Tests.MobileTest","","Tests.MobileTest","takeCardMTS","Неккоректный ввод ФИО при оформлении кредита","На странице дебеторской карты подается заявка с ошибкой в ФИО. Проверяется вывод сообщений 'Используйте только кириллицу', 'Нет отчества'"
"failed","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:20 GMT 2023","56782","","Tests.ComputerTest","","Tests.ComputerTest","takeLoanMTS","Неккоректный ввод возраста при оформлении кредита","На странице кредита подается заявка на кредит с ошибкой в возрасте. Проверяется вывод сообщений 'Возраст клиента должен быть не более 70 лет'"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:27 GMT 2023","63084","","Tests.ComputerTest","","Tests.ComputerTest","takeMortgageMTS","Неккоректный ввод почты при оформлении ипотеке","На странице ипотеки подается заявка с ошибкой в почте. Проверяется вывод сообщений 'Введите верный электронный адрес'"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 16:59:57 GMT 2023","33161","","Tests.MobileTest","","Tests.MobileTest","takeVk","Проверка кнопки со ссылкой на VK","На главной странице сайта нажимается кнопка соцсети 'VK', проверяется открытие официальной страницы МТС банка"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 16:59:55 GMT 2023","31903","","Tests.ComputerTest","","Tests.ComputerTest","takeATMAdress","Неккоректный ввод ФИО и возраста при оформлении кредита","На странице дебеторской карты подается заявка в ФИО и почте. Проверяется вывод сообщений 'Используйте только кириллицу', 'Нет отчества' и 'Введите верный электронный адрес'"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 16:59:57 GMT 2023","33357","","Tests.MobileTest","","Tests.MobileTest","takePaymentAccount","Неккоректный ввод ИНН при оформлении расчетного счета","На странице расчетного счета подается заявка с ошибкой в ИНН. Проверяется вывод сообщений 'ИНН некорректный, проверьте правильность написания'."
"passed","Thu May 25 19:41:47 GMT 2023","Thu May 25 19:42:53 GMT 2023","65768","","Tests.ComputerTest","","Tests.ComputerTest","takeATMAdress","Проверка поиска банкомата [2] Санкт-Петербург","На странице дебеторской карты подается заявка в ФИО и почте. Проверяется вывод сообщений 'Используйте только кириллицу', 'Нет отчества' и 'Введите верный электронный адрес'"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 16:59:57 GMT 2023","33143","","Tests.ComputerTest","","Tests.ComputerTest","takeCardMTS","Неккоректный ввод ФИО при оформлении кредита","На странице дебеторской карты подается заявка с ошибкой в ФИО. Проверяется вывод сообщений 'Используйте только кириллицу', 'Нет отчества'"
"broken","Thu May 25 16:59:23 GMT 2023","Thu May 25 16:59:55 GMT 2023","31454","","Tests.MobileTest","","Tests.MobileTest","takeLoanMTS","Неккоректный ввод возраста при оформлении кредита","На странице кредита подается заявка на кредит с ошибкой в возрасте. Проверяется вывод сообщений 'Возраст клиента должен быть не более 70 лет'"
"failed","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:20 GMT 2023","56876","","Tests.ComputerTest","","Tests.ComputerTest","takePaymentAccount","Неккоректный ввод ИНН при оформлении расчетного счета","На странице расчетного счета подается заявка с ошибкой в ИНН. Проверяется вывод сообщений 'ИНН некорректный, проверьте правильность написания'."
"failed","Thu May 25 16:59:23 GMT 2023","Thu May 25 17:00:20 GMT 2023","56782","","Tests.MobileTest","","Tests.MobileTest","takeATMAdress","Неккоректный ввод ФИО и возраста при оформлении кредита","На странице дебеторской карты подается заявка в ФИО и почте. Проверяется вывод сообщений 'Используйте только кириллицу', 'Нет отчества' и 'Введите верный электронный адрес'"
